district,A_0_4_y_Indigenous_M_n,A_0_4_y_Indigenous_F_n,A_0_4_y_Indigenous_P_n,A_0_4_y_Non_Indigenous_M_n,A_0_4_y_Non_Indigenous_F_n,A_0_4_y_Non_Indigenous_P_n,A_0_4_y_Indig_stat_ns_M_n,A_0_4_y_Indig_stat_ns_F_n,A_0_4_y_Indig_stat_ns_P_n,A_0_4_y_Tot_M_n,A_0_4_y_Tot_F_n,A_0_4_y_Tot_P_n,A_5_9_y_Indigenous_M_n,A_5_9_y_Indigenous_F_n,A_5_9_y_Indigenous_P_n,A_5_9_y_Non_Indigenous_M_n,A_5_9_y_Non_Indigenous_F_n,A_5_9_y_Non_Indigenous_P_n,A_5_9_y_Indig_stat_ns_M_n,A_5_9_y_Indig_stat_ns_F_n,A_5_9_y_Indig_stat_ns_P_n,A_5_9_y_Tot_M_n,A_5_9_y_Tot_F_n,A_5_9_y_Tot_P_n,A_10_14_y_Indigenous_M_n,A_10_14_y_Indigenous_F_n,A_10_14_y_Indigenous_P_n,A_10_14_y_Non_Indig_M_n,A_10_14_y_Non_Indig_F_n,A_10_14_y_Non_Indig_P_n,A_10_14_y_Indig_stat_ns_M_n,A_10_14_y_Indig_stat_ns_F_n,A_10_14_y_Indig_stat_ns_P_n,A_10_14_y_Tot_M_n,A_10_14_y_Tot_F_n,A_10_14_y_Tot_P_n,A_15_19_y_Indigenous_M_n,A_15_19_y_Indigenous_F_n,A_15_19_y_Indigenous_P_n,A_15_19_y_Non_Indig_M_n,A_15_19_y_Non_Indig_F_n,A_15_19_y_Non_Indig_P_n,A_15_19_y_Indig_stat_ns_M_n,A_15_19_y_Indig_stat_ns_F_n,A_15_19_y_Indig_stat_ns_P_n,A_15_19_y_Tot_M_n,A_15_19_y_Tot_F_n,A_15_19_y_Tot_P_n,A_20_24_y_Indigenous_M_n,A_20_24_y_Indigenous_F_n,A_20_24_y_Indigenous_P_n,A_20_24_y_Non_Indig_M_n,A_20_24_y_Non_Indig_F_n,A_20_24_y_Non_Indig_P_n,A_20_24_y_Indig_stat_ns_M_n,A_20_24_y_Indig_stat_ns_F_n,A_20_24_y_Indig_stat_ns_P_n,A_20_24_y_Tot_M_n,A_20_24_y_Tot_F_n,A_20_24_y_Tot_P_n,A_25_29_y_Indigenous_M_n,A_25_29_y_Indigenous_F_n,A_25_29_y_Indigenous_P_n,A_25_29_y_Non_Indig_M_n,A_25_29_y_Non_Indig_F_n,A_25_29_y_Non_Indig_P_n,A_25_29_y_Indig_stat_ns_M_n,A_25_29_y_Indig_stat_ns_F_n,A_25_29_y_Indig_stat_ns_P_n,A_25_29_y_Tot_M_n,A_25_29_y_Tot_F_n,A_25_29_y_Tot_P_n,A_30_34_y_Indigenous_M_n,A_30_34_y_Indigenous_F_n,A_30_34_y_Indigenous_P_n,A_30_34_y_Non_Indig_M_n,A_30_34_y_Non_Indig_F_n,A_30_34_y_Non_Indig_P_n,A_30_34_y_Indig_stat_ns_M_n,A_30_34_y_Indig_stat_ns_F_n,A_30_34_y_Indig_stat_ns_P_n,A_30_34_y_Tot_M_n,A_30_34_y_Tot_F_n,A_30_34_y_Tot_P_n,A_35_39_y_Indigenous_M_n,A_35_39_y_Indigenous_F_n,A_35_39_y_Indigenous_P_n,A_35_39_y_Non_Indig_M_n,A_35_39_y_Non_Indig_F_n,A_35_39_y_Non_Indig_P_n,A_35_39_y_Indig_stat_ns_M_n,A_35_39_y_Indig_stat_ns_F_n,A_35_39_y_Indig_stat_ns_P_n,A_35_39_y_Tot_M_n,A_35_39_y_Tot_F_n,A_35_39_y_Tot_P_n,A_40_44_y_Indigenous_M_n,A_40_44_y_Indigenous_F_n,A_40_44_y_Indigenous_P_n,A_40_44_y_Non_Indig_M_n,A_40_44_y_Non_Indig_F_n,A_40_44_y_Non_Indig_P_n,A_40_44_y_Indig_stat_ns_M_n,A_40_44_y_Indig_stat_ns_F_n,A_40_44_y_Indig_stat_ns_P_n,A_40_44_y_Tot_M_n,A_40_44_y_Tot_F_n,A_40_44_y_Tot_P_n,A_45_49_y_Indigenous_M_n,A_45_49_y_Indigenous_F_n,A_45_49_y_Indigenous_P_n,A_45_49_y_Non_Indig_M_n,A_45_49_y_Non_Indig_F_n,A_45_49_y_Non_Indig_P_n,A_45_49_y_Indig_stat_ns_M_n,A_45_49_y_Indig_stat_ns_F_n,A_45_49_y_Indig_stat_ns_P_n,A_45_49_y_Tot_M_n,A_45_49_y_Tot_F_n,A_45_49_y_Tot_P_n,A_50_54_y_Indigenous_M_n,A_50_54_y_Indigenous_F_n,A_50_54_y_Indigenous_P_n,A_50_54_y_Non_Indig_M_n,A_50_54_y_Non_Indig_F_n,A_50_54_y_Non_Indig_P_n,A_50_54_y_Indig_stat_ns_M_n,A_50_54_y_Indig_stat_ns_F_n,A_50_54_y_Indig_stat_ns_P_n,A_50_54_y_Tot_M_n,A_50_54_y_Tot_F_n,A_50_54_y_Tot_P_n,A_55_59_y_Indigenous_M_n,A_55_59_y_Indigenous_F_n,A_55_59_y_Indigenous_P_n,A_55_59_y_Non_Indig_M_n,A_55_59_y_Non_Indig_F_n,A_55_59_y_Non_Indig_P_n,A_55_59_y_Indig_stat_ns_M_n,A_55_59_y_Indig_stat_ns_F_n,A_55_59_y_Indig_stat_ns_P_n,A_55_59_y_Tot_M_n,A_55_59_y_Tot_F_n,A_55_59_y_Tot_P_n,A_60_64_y_Indigenous_M_n,A_60_64_y_Indigenous_F_n,A_60_64_y_Indigenous_P_n,A_60_64_y_Non_Indig_M_n,A_60_64_y_Non_Indig_F_n,A_60_64_y_Non_Indig_P_n,A_60_64_y_Indig_stat_ns_M_n,A_60_64_y_Indig_stat_ns_F_n,A_60_64_y_Indig_stat_ns_P_n,A_60_64_y_Tot_M_n,A_60_64_y_Tot_F_n,A_60_64_y_Tot_P_n,A_65_y_ov_Indigenous_M_n,A_65_y_ov_Indigenous_F_n,A_65_y_ov_Indigenous_P_n,A_65_y_ov_Non_Indig_M_n,A_65_y_ov_Non_Indig_F_n,A_65_y_ov_Non_Indig_P_n,A_65_y_ov_Indig_stat_ns_M_n,A_65_y_ov_Indig_stat_ns_F_n,A_65_y_ov_Indig_stat_ns_P_n,A_65_y_ov_Tot_M_n,A_65_y_ov_Tot_F_n,A_65_y_ov_Tot_P_n,Tot_Indigenous_M_n,Tot_Indigenous_F_n,Tot_Indigenous_P_n,Tot_Non_Indigenous_M_n,Tot_Non_Indigenous_F_n,Tot_Non_Indigenous_P_n,Tot_Indig_status_ns_M_n,Tot_Indig_status_ns_F_n,Tot_Indig_status_ns_P_n,Tot_Tot_M_n,Tot_Tot_F_n,Tot_Tot_P_n,Tot_Tot_P_total
Melbourne,5.0,3.0,11.0,1562.0,1484.0,3082.0,66.0,66.0,179.0,1669.0,1617.0,3309.0,8.0,0.0,8.0,1129.0,1115.0,2301.0,78.0,83.0,175.0,1274.0,1231.0,2515.0,0.0,0.0,0.0,929.0,902.0,1908.0,37.0,30.0,102.0,1011.0,980.0,2042.0,23.0,24.0,48.0,2243.0,2816.0,5139.0,110.0,165.0,330.0,2438.0,3043.0,5556.0,35.0,33.0,86.0,9470.0,10761.0,20306.0,636.0,718.0,1414.0,10316.0,11625.0,21894.0,17.0,7.0,31.0,10694.0,11116.0,21913.0,820.0,792.0,1632.0,11666.0,12046.0,23679.0,11.0,6.0,40.0,8625.0,7936.0,16603.0,609.0,616.0,1348.0,9336.0,8658.0,17948.0,5.0,0.0,13.0,5194.0,4818.0,10034.0,380.0,304.0,782.0,5768.0,5192.0,10900.0,6.0,0.0,6.0,3278.0,2845.0,6123.0,210.0,144.0,450.0,3607.0,3086.0,6634.0,4.0,0.0,8.0,2199.0,2115.0,4392.0,125.0,106.0,304.0,2468.0,2281.0,4802.0,0.0,3.0,3.0,1842.0,1863.0,3751.0,117.0,91.0,252.0,2008.0,2002.0,4078.0,0.0,0.0,0.0,1636.0,1725.0,3401.0,97.0,79.0,221.0,1774.0,1880.0,3706.0,0.0,0.0,4.0,1417.0,1495.0,2939.0,70.0,48.0,175.0,1562.0,1614.0,3149.0,0.0,0.0,0.0,3458.0,3734.0,7186.0,220.0,180.0,517.0,3754.0,4070.0,7751.0,312.0,210.0,557.0,54087.0,55059.0,109191.0,4279.0,4264.0,8565.0,58805.0,59640.0,118383.0,118383.0
Melton,66.0,51.0,150.0,3493.0,3381.0,6813.0,146.0,122.0,358.0,3758.0,3714.0,7430.0,59.0,68.0,121.0,3514.0,3250.0,6719.0,201.0,174.0,425.0,3829.0,3594.0,7384.0,36.0,24.0,88.0,2697.0,2800.0,5564.0,169.0,200.0,448.0,3022.0,3089.0,6152.0,30.0,25.0,77.0,2251.0,2197.0,4367.0,98.0,128.0,276.0,2425.0,2354.0,4774.0,22.0,22.0,74.0,2318.0,2149.0,4573.0,99.0,104.0,311.0,2540.0,2430.0,4965.0,27.0,6.0,65.0,2552.0,2921.0,5481.0,135.0,149.0,376.0,2813.0,3189.0,6012.0,12.0,15.0,39.0,3366.0,3779.0,7110.0,135.0,123.0,365.0,3616.0,4050.0,7682.0,13.0,8.0,46.0,3393.0,3381.0,6871.0,177.0,157.0,416.0,3629.0,3731.0,7360.0,3.0,9.0,16.0,2766.0,2709.0,5431.0,144.0,110.0,296.0,2969.0,2941.0,5834.0,3.0,10.0,24.0,2317.0,2173.0,4519.0,69.0,74.0,280.0,2542.0,2379.0,4908.0,6.0,15.0,30.0,1906.0,2074.0,4005.0,58.0,72.0,195.0,2055.0,2255.0,4267.0,5.0,0.0,4.0,1711.0,1776.0,3467.0,50.0,38.0,129.0,1879.0,1873.0,3774.0,6.0,3.0,15.0,1496.0,1744.0,3252.0,32.0,28.0,80.0,1588.0,1841.0,3400.0,6.0,10.0,31.0,3960.0,4372.0,8345.0,188.0,172.0,424.0,4176.0,4647.0,8870.0,610.0,689.0,1310.0,37649.0,38773.0,76428.0,2496.0,2541.0,4994.0,40759.0,42011.0,82823.0,82823.0
Mildura,147.0,135.0,307.0,1654.0,1583.0,3282.0,78.0,62.0,193.0,1938.0,1914.0,3937.0,152.0,158.0,316.0,1767.0,1754.0,3518.0,136.0,113.0,291.0,2169.0,2047.0,4302.0,170.0,125.0,339.0,1881.0,1768.0,3674.0,105.0,143.0,305.0,2276.0,2134.0,4444.0,128.0,143.0,287.0,1666.0,1529.0,3211.0,118.0,124.0,300.0,2028.0,1841.0,3886.0,64.0,85.0,169.0,1708.0,1466.0,3222.0,79.0,93.0,232.0,1975.0,1734.0,3743.0,71.0,74.0,157.0,1998.0,1984.0,3980.0,114.0,103.0,264.0,2305.0,2261.0,4458.0,44.0,80.0,135.0,2056.0,2032.0,4076.0,136.0,120.0,331.0,2302.0,2341.0,4638.0,25.0,61.0,110.0,1761.0,1825.0,3669.0,92.0,129.0,253.0,2052.0,2093.0,4145.0,49.0,24.0,124.0,1739.0,1771.0,3489.0,124.0,108.0,277.0,1940.0,2067.0,3945.0,27.0,26.0,68.0,1786.0,1890.0,3629.0,136.0,68.0,261.0,2016.0,2108.0,4105.0,14.0,43.0,72.0,2015.0,2022.0,4039.0,111.0,93.0,281.0,2254.0,2210.0,4506.0,14.0,26.0,59.0,2044.0,2117.0,4182.0,122.0,85.0,266.0,2223.0,2389.0,4585.0,9.0,19.0,43.0,2209.0,2188.0,4333.0,136.0,63.0,255.0,2432.0,2407.0,4755.0,26.0,42.0,88.0,6204.0,6830.0,13058.0,470.0,490.0,1034.0,6795.0,7452.0,14261.0,1420.0,1563.0,3034.0,30474.0,30901.0,61467.0,2723.0,2510.0,5266.0,34720.0,35051.0,69748.0,69748.0
Mill Park,0.0,24.0,27.0,2071.0,1951.0,3981.0,45.0,33.0,92.0,2173.0,2024.0,4191.0,13.0,28.0,50.0,2176.0,2086.0,4251.0,41.0,27.0,100.0,2277.0,2196.0,4469.0,21.0,12.0,43.0,2115.0,1980.0,4135.0,28.0,38.0,108.0,2245.0,2079.0,4376.0,7.0,15.0,41.0,2153.0,1976.0,4033.0,46.0,25.0,102.0,2258.0,2073.0,4291.0,8.0,3.0,17.0,2300.0,2043.0,4353.0,48.0,16.0,73.0,2385.0,2120.0,4579.0,4.0,7.0,32.0,2458.0,2230.0,4657.0,38.0,49.0,99.0,2562.0,2335.0,4890.0,3.0,14.0,17.0,2410.0,2578.0,5078.0,44.0,51.0,129.0,2519.0,2705.0,5247.0,0.0,0.0,3.0,2436.0,2551.0,5003.0,26.0,58.0,154.0,2562.0,2694.0,5217.0,0.0,9.0,10.0,2321.0,2242.0,4566.0,25.0,14.0,67.0,2399.0,2330.0,4750.0,0.0,0.0,3.0,2048.0,2319.0,4364.0,26.0,28.0,136.0,2149.0,2392.0,4540.0,0.0,0.0,0.0,2152.0,2350.0,4527.0,28.0,28.0,75.0,2208.0,2456.0,4693.0,0.0,0.0,0.0,2064.0,2321.0,4343.0,14.0,19.0,67.0,2082.0,2356.0,4471.0,0.0,0.0,0.0,1799.0,2009.0,3795.0,17.0,31.0,96.0,1881.0,2093.0,3941.0,0.0,0.0,9.0,3918.0,4468.0,8404.0,204.0,355.0,664.0,4224.0,4870.0,9091.0,244.0,279.0,653.0,32462.0,33040.0,65557.0,1178.0,1304.0,2588.0,33995.0,34760.0,68727.0,68727.0
Monbulk,8.0,5.0,16.0,1784.0,1645.0,3428.0,22.0,34.0,83.0,1839.0,1753.0,3560.0,9.0,8.0,24.0,2042.0,1953.0,3968.0,49.0,23.0,109.0,2161.0,2028.0,4165.0,13.0,0.0,19.0,2173.0,1924.0,4153.0,39.0,63.0,147.0,2278.0,2041.0,4412.0,17.0,5.0,23.0,2141.0,1826.0,3925.0,51.0,45.0,121.0,2231.0,1906.0,4157.0,11.0,10.0,21.0,1696.0,1483.0,3228.0,50.0,17.0,100.0,1822.0,1556.0,3404.0,3.0,5.0,13.0,1463.0,1416.0,2872.0,46.0,19.0,79.0,1522.0,1490.0,3034.0,0.0,0.0,4.0,1884.0,1958.0,3835.0,43.0,59.0,126.0,1979.0,2003.0,4021.0,0.0,0.0,0.0,1995.0,2100.0,4137.0,30.0,34.0,98.0,2089.0,2192.0,4281.0,0.0,0.0,0.0,2141.0,2284.0,4409.0,57.0,38.0,119.0,2222.0,2332.0,4609.0,7.0,5.0,16.0,2353.0,2473.0,4849.0,47.0,53.0,132.0,2491.0,2598.0,5074.0,0.0,0.0,0.0,2336.0,2454.0,4742.0,62.0,42.0,130.0,2474.0,2545.0,4980.0,1.0,0.0,1.0,2172.0,2404.0,4562.0,51.0,35.0,132.0,2270.0,2444.0,4728.0,8.0,0.0,5.0,2183.0,2204.0,4294.0,43.0,45.0,125.0,2243.0,2304.0,4477.0,0.0,0.0,6.0,5163.0,5422.0,10594.0,179.0,167.0,410.0,5400.0,5609.0,11035.0,210.0,165.0,423.0,31533.0,31498.0,63035.0,1242.0,1170.0,2410.0,33043.0,32920.0,65940.0,65940.0
Mordialloc,9.0,9.0,32.0,2071.0,2027.0,4143.0,34.0,13.0,76.0,2157.0,2091.0,4228.0,9.0,5.0,26.0,2455.0,2284.0,4708.0,17.0,26.0,69.0,2519.0,2330.0,4868.0,0.0,0.0,3.0,2433.0,2379.0,4782.0,13.0,17.0,45.0,2525.0,2476.0,4916.0,4.0,3.0,16.0,2204.0,2136.0,4410.0,11.0,18.0,71.0,2260.0,2194.0,4530.0,4.0,0.0,0.0,1992.0,1887.0,3915.0,29.0,16.0,57.0,2047.0,1924.0,4009.0,0.0,6.0,6.0,1794.0,1803.0,3564.0,37.0,28.0,99.0,1830.0,1886.0,3751.0,3.0,0.0,6.0,2105.0,2314.0,4425.0,26.0,23.0,83.0,2162.0,2374.0,4587.0,0.0,0.0,5.0,2384.0,2818.0,5230.0,20.0,25.0,73.0,2446.0,2920.0,5410.0,0.0,0.0,3.0,2610.0,2796.0,5450.0,36.0,29.0,114.0,2711.0,2864.0,5596.0,0.0,0.0,0.0,2614.0,2879.0,5436.0,26.0,28.0,89.0,2649.0,2963.0,5571.0,4.0,0.0,4.0,2527.0,2701.0,5278.0,26.0,30.0,84.0,2593.0,2803.0,5421.0,0.0,0.0,0.0,2241.0,2281.0,4485.0,37.0,13.0,73.0,2313.0,2360.0,4602.0,0.0,0.0,0.0,1806.0,1968.0,3887.0,22.0,17.0,74.0,1882.0,2054.0,3980.0,4.0,0.0,4.0,4651.0,5849.0,10507.0,126.0,158.0,368.0,4816.0,6077.0,10874.0,134.0,143.0,284.0,33913.0,36286.0,70254.0,896.0,909.0,1827.0,34958.0,37371.0,72354.0,72354.0
Mornington,0.0,4.0,19.0,1415.0,1433.0,2849.0,17.0,23.0,62.0,1513.0,1499.0,2963.0,0.0,3.0,26.0,1988.0,1927.0,3820.0,29.0,45.0,83.0,2045.0,1979.0,3981.0,23.0,13.0,43.0,2333.0,2213.0,4501.0,51.0,28.0,113.0,2445.0,2326.0,4708.0,14.0,11.0,41.0,2064.0,1939.0,4051.0,40.0,27.0,93.0,2169.0,2097.0,4264.0,6.0,3.0,17.0,1353.0,1336.0,2716.0,8.0,13.0,35.0,1435.0,1379.0,2789.0,0.0,0.0,0.0,892.0,868.0,1759.0,12.0,11.0,43.0,928.0,938.0,1843.0,0.0,0.0,0.0,1097.0,1139.0,2332.0,14.0,15.0,50.0,1146.0,1189.0,2423.0,0.0,0.0,1.0,1358.0,1719.0,3100.0,7.0,13.0,50.0,1445.0,1764.0,3227.0,3.0,0.0,8.0,1791.0,2005.0,3788.0,18.0,31.0,106.0,1865.0,2087.0,3968.0,0.0,8.0,8.0,2151.0,2455.0,4586.0,38.0,37.0,124.0,2223.0,2549.0,4780.0,0.0,3.0,12.0,2218.0,2531.0,4743.0,52.0,37.0,131.0,2263.0,2644.0,4952.0,0.0,0.0,0.0,1989.0,2105.0,4081.0,31.0,30.0,108.0,2064.0,2149.0,4224.0,0.0,0.0,0.0,1858.0,2133.0,4021.0,22.0,27.0,91.0,1937.0,2189.0,4193.0,3.0,3.0,9.0,7329.0,9240.0,16469.0,210.0,316.0,579.0,7571.0,9571.0,17092.0,228.0,148.0,385.0,29823.0,33016.0,62857.0,1037.0,1052.0,2095.0,31120.0,34305.0,65404.0,65404.0
Morwell,61.0,64.0,168.0,1752.0,1754.0,3510.0,116.0,105.0,248.0,2026.0,1945.0,4057.0,70.0,45.0,141.0,2015.0,1782.0,3690.0,105.0,119.0,284.0,2246.0,2036.0,4276.0,88.0,51.0,177.0,1995.0,1848.0,3869.0,146.0,123.0,334.0,2284.0,2171.0,4435.0,24.0,25.0,47.0,1880.0,1751.0,3675.0,123.0,110.0,267.0,2090.0,1932.0,4095.0,23.0,22.0,103.0,1806.0,1801.0,3551.0,113.0,116.0,270.0,2004.0,2027.0,4022.0,12.0,7.0,50.0,2072.0,2146.0,4230.0,123.0,93.0,309.0,2338.0,2331.0,4705.0,22.0,36.0,80.0,1951.0,2147.0,4091.0,119.0,98.0,276.0,2170.0,2326.0,4527.0,5.0,3.0,19.0,1860.0,2073.0,3841.0,105.0,152.0,326.0,2060.0,2282.0,4312.0,6.0,9.0,27.0,1701.0,1857.0,3575.0,87.0,75.0,222.0,1943.0,1984.0,3882.0,18.0,14.0,35.0,1795.0,2001.0,3727.0,69.0,88.0,191.0,2003.0,2153.0,4102.0,4.0,16.0,39.0,2020.0,2141.0,4181.0,107.0,90.0,289.0,2208.0,2323.0,4583.0,10.0,5.0,31.0,2186.0,2321.0,4464.0,112.0,87.0,284.0,2332.0,2513.0,4867.0,4.0,6.0,17.0,2157.0,2319.0,4572.0,69.0,78.0,179.0,2324.0,2488.0,4814.0,8.0,4.0,28.0,6687.0,7525.0,14183.0,434.0,470.0,942.0,7168.0,8048.0,15204.0,738.0,785.0,1519.0,31884.0,33486.0,65340.0,2507.0,2517.0,4967.0,35099.0,36796.0,71940.0,71940.0
Mulgrave,3.0,14.0,26.0,2032.0,1874.0,3907.0,62.0,39.0,120.0,2103.0,1965.0,4076.0,0.0,0.0,18.0,2151.0,1864.0,4055.0,48.0,49.0,134.0,2256.0,1965.0,4261.0,0.0,3.0,8.0,1978.0,1906.0,3809.0,48.0,14.0,87.0,2023.0,1954.0,3958.0,0.0,0.0,3.0,1949.0,1750.0,3710.0,34.0,30.0,75.0,2023.0,1819.0,3840.0,3.0,0.0,10.0,2633.0,2240.0,4872.0,77.0,35.0,158.0,2786.0,2343.0,5088.0,0.0,0.0,7.0,3185.0,2659.0,5819.0,144.0,64.0,265.0,3353.0,2772.0,6189.0,0.0,0.0,0.0,2922.0,2715.0,5679.0,128.0,65.0,224.0,3048.0,2822.0,5959.0,0.0,3.0,3.0,2720.0,2718.0,5434.0,48.0,73.0,168.0,2832.0,2809.0,5701.0,0.0,3.0,3.0,2383.0,2303.0,4741.0,53.0,30.0,122.0,2440.0,2382.0,4905.0,0.0,4.0,12.0,2228.0,2296.0,4506.0,52.0,44.0,103.0,2319.0,2358.0,4688.0,0.0,0.0,0.0,2208.0,2256.0,4478.0,44.0,20.0,114.0,2292.0,2321.0,4663.0,0.0,0.0,0.0,2020.0,2047.0,3985.0,11.0,16.0,68.0,2083.0,2110.0,4173.0,0.0,0.0,0.0,1862.0,2057.0,3984.0,19.0,35.0,73.0,1923.0,2115.0,4078.0,0.0,3.0,3.0,6704.0,8083.0,14782.0,282.0,371.0,746.0,7050.0,8550.0,15573.0,93.0,78.0,223.0,36994.0,36714.0,73716.0,1568.0,1435.0,2998.0,38615.0,38333.0,77013.0,77013.0
Murray Plains,75.0,77.0,180.0,1447.0,1451.0,2965.0,61.0,67.0,181.0,1711.0,1705.0,3374.0,71.0,71.0,197.0,1657.0,1626.0,3339.0,82.0,80.0,205.0,1944.0,1893.0,3792.0,114.0,68.0,211.0,1844.0,1793.0,3607.0,148.0,82.0,270.0,2118.0,2105.0,4208.0,50.0,67.0,164.0,1677.0,1437.0,3116.0,71.0,72.0,193.0,1898.0,1656.0,3613.0,67.0,50.0,128.0,1422.0,1374.0,2855.0,63.0,57.0,171.0,1638.0,1596.0,3256.0,31.0,37.0,118.0,1497.0,1557.0,3081.0,67.0,66.0,181.0,1673.0,1776.0,3435.0,22.0,26.0,93.0,1502.0,1583.0,3088.0,57.0,79.0,186.0,1675.0,1748.0,3462.0,18.0,22.0,46.0,1499.0,1577.0,3110.0,73.0,58.0,187.0,1652.0,1776.0,3501.0,15.0,4.0,48.0,1393.0,1556.0,2981.0,71.0,82.0,214.0,1592.0,1796.0,3314.0,5.0,18.0,39.0,1589.0,1760.0,3342.0,60.0,68.0,190.0,1756.0,1963.0,3655.0,20.0,18.0,83.0,1814.0,1968.0,3782.0,101.0,73.0,206.0,2004.0,2145.0,4210.0,10.0,25.0,53.0,1970.0,2188.0,4131.0,99.0,84.0,228.0,2181.0,2347.0,4505.0,10.0,27.0,57.0,2255.0,2149.0,4363.0,67.0,74.0,236.0,2439.0,2336.0,4790.0,28.0,42.0,102.0,7057.0,7574.0,14545.0,534.0,562.0,1159.0,7632.0,8184.0,15859.0,970.0,1010.0,2039.0,28719.0,29681.0,58340.0,2201.0,2207.0,4470.0,32003.0,32900.0,64888.0,64888.0
Narracan,28.0,21.0,78.0,1911.0,1876.0,3781.0,50.0,62.0,168.0,2073.0,2034.0,4130.0,21.0,22.0,74.0,2004.0,1893.0,3933.0,94.0,88.0,255.0,2197.0,2066.0,4282.0,21.0,30.0,59.0,2165.0,2032.0,4174.0,102.0,106.0,268.0,2379.0,2236.0,4594.0,6.0,19.0,41.0,1788.0,1829.0,3614.0,66.0,81.0,187.0,1936.0,1951.0,3898.0,6.0,9.0,24.0,1592.0,1620.0,3220.0,58.0,27.0,110.0,1729.0,1683.0,3431.0,14.0,7.0,30.0,1770.0,2008.0,3723.0,58.0,69.0,191.0,1859.0,2147.0,4045.0,3.0,12.0,19.0,1895.0,2049.0,3996.0,57.0,56.0,174.0,2043.0,2214.0,4319.0,10.0,3.0,12.0,1801.0,1940.0,3758.0,91.0,65.0,180.0,1968.0,2072.0,4041.0,7.0,12.0,25.0,1624.0,1731.0,3438.0,58.0,40.0,208.0,1791.0,1880.0,3688.0,0.0,0.0,17.0,1754.0,1949.0,3698.0,78.0,82.0,197.0,1890.0,2104.0,3987.0,5.0,0.0,3.0,1994.0,2130.0,4110.0,82.0,70.0,212.0,2131.0,2297.0,4343.0,0.0,0.0,3.0,2024.0,2212.0,4240.0,61.0,42.0,141.0,2182.0,2344.0,4431.0,3.0,12.0,23.0,2050.0,2269.0,4297.0,78.0,110.0,214.0,2166.0,2416.0,4580.0,4.0,3.0,18.0,6378.0,6942.0,13320.0,381.0,383.0,764.0,6825.0,7372.0,14198.0,403.0,361.0,837.0,30938.0,32486.0,63542.0,1903.0,1861.0,3805.0,33248.0,34889.0,68111.0,68111.0
Narre Warren North,14.0,23.0,46.0,2302.0,2229.0,4465.0,57.0,47.0,157.0,2461.0,2307.0,4762.0,11.0,13.0,38.0,2397.0,2304.0,4735.0,74.0,49.0,194.0,2596.0,2424.0,5006.0,11.0,9.0,31.0,2391.0,2267.0,4660.0,64.0,83.0,187.0,2509.0,2398.0,4931.0,0.0,9.0,21.0,2392.0,2198.0,4535.0,85.0,56.0,183.0,2523.0,2352.0,4810.0,10.0,4.0,17.0,2708.0,2362.0,5141.0,77.0,63.0,190.0,2860.0,2508.0,5421.0,5.0,0.0,7.0,2637.0,2547.0,5225.0,115.0,79.0,261.0,2828.0,2683.0,5610.0,0.0,0.0,0.0,2644.0,2704.0,5326.0,91.0,89.0,242.0,2767.0,2827.0,5606.0,0.0,0.0,6.0,2575.0,2698.0,5261.0,73.0,112.0,215.0,2720.0,2838.0,5538.0,6.0,0.0,6.0,2338.0,2276.0,4614.0,50.0,35.0,139.0,2434.0,2399.0,4848.0,0.0,3.0,3.0,2197.0,2363.0,4684.0,65.0,57.0,173.0,2291.0,2513.0,4908.0,4.0,0.0,4.0,2366.0,2602.0,4894.0,22.0,69.0,146.0,2491.0,2647.0,5110.0,4.0,0.0,4.0,2476.0,2688.0,5177.0,52.0,43.0,127.0,2559.0,2746.0,5375.0,0.0,0.0,0.0,2302.0,2459.0,4751.0,38.0,22.0,107.0,2414.0,2525.0,4945.0,0.0,4.0,4.0,5409.0,6011.0,11361.0,149.0,193.0,399.0,5643.0,6278.0,11840.0,141.0,174.0,401.0,37347.0,37636.0,75013.0,1690.0,1739.0,3461.0,39289.0,39551.0,78850.0,78850.0
