district,M_0_4_yrs_Need_for_assistance_pc,M_0_4_No_need_for_assistance_pc,M_0_4_Need_for_assistance_ns_pc,M_0_4_yrs_Tot_pc,M_5_14_Need_for_assistance_pc,M_5_14_No_need_for_assistance_pc,M_5_14_Need_for_assistance_ns_pc,M_5_14_yrs_Tot_pc,M_15_19_Need_for_assistance_pc,M_15_19_No_need_for_assistnce_pc,M_15_19_Need_for_assistnce_ns_pc,M_15_19_yrs_Tot_pc,M_20_24_Need_for_assistance_pc,M_20_24_No_need_for_assistnce_pc,M_20_24_Need_for_assistnce_ns_pc,M_20_24_yrs_Tot_pc,M_25_34_Need_for_assistance_pc,M_25_34_No_need_for_assistnce_pc,M_25_34_Need_for_assistnce_ns_pc,M_25_34_yrs_Tot_pc,M_35_44_Need_for_assistance_pc,M_35_44_No_need_for_assistnce_pc,M_35_44_Need_for_assistnce_ns_pc,M_35_44_yrs_Tot_pc,M_45_54_Need_for_assistance_pc,M_45_54_No_need_for_assistnce_pc,M_45_54_Need_for_assistnce_ns_pc,M_45_54_yrs_Tot_pc,M_55_64_Need_for_assistance_pc,M_55_64_No_need_for_assistnce_pc,M_55_64_Need_for_assistnce_ns_pc,M_55_64_yrs_Tot_pc,M_65_74_Need_for_assistance_pc,M_65_74_No_need_for_assistnce_pc,M_65_74_Need_for_assistnce_ns_pc,M_65_74_yrs_Tot_pc,M_75_84_Need_for_assistance_pc,M_75_84_No_need_for_assistnce_pc,M_75_84_Need_for_assistnce_ns_pc,M_75_84_yrs_Tot_pc,M_85_over_Need_for_assistance_pc,M_85_ov_No_need_for_assistnce_pc,M_85_ov_Need_for_assistnce_ns_pc,M_85_yrs_over_Tot_pc,M_Tot_Need_for_assistance_pc,M_Tot_No_need_for_assistance_pc,M_Tot_Need_for_assistance_ns_pc,M_Tot_Tot_pc,F_0_4_yrs_Need_for_assistance_pc,F_0_4_No_need_for_assistance_pc,F_0_4_Need_for_assistance_ns_pc,F_0_4_yrs_Tot_pc,F_5_14_Need_for_assistance_pc,F_5_14_No_need_for_assistance_pc,F_5_14_Need_for_assistance_ns_pc,F_5_14_yrs_Tot_pc,F_15_19_Need_for_assistance_pc,F_15_19_No_need_for_assistnce_pc,F_15_19_Need_for_assistnce_ns_pc,F_15_19_yrs_Tot_pc,F_20_24_Need_for_assistance_pc,F_20_24_No_need_for_assistnce_pc,F_20_24_Need_for_assistnce_ns_pc,F_20_24_yrs_Tot_pc,F_25_34_Need_for_assistance_pc,F_25_34_No_need_for_assistnce_pc,F_25_34_Need_for_assistnce_ns_pc,F_25_34_yrs_Tot_pc,F_35_44_Need_for_assistance_pc,F_35_44_No_need_for_assistnce_pc,F_35_44_Need_for_assistnce_ns_pc,F_35_44_yrs_Tot_pc,F_45_54_Need_for_assistance_pc,F_45_54_No_need_for_assistnce_pc,F_45_54_Need_for_assistnce_ns_pc,F_45_54_yrs_Tot_pc,F_55_64_Need_for_assistance_pc,F_55_64_No_need_for_assistnce_pc,F_55_64_Need_for_assistnce_ns_pc,F_55_64_yrs_Tot_pc,F_65_74_Need_for_assistance_pc,F_65_74_No_need_for_assistnce_pc,F_65_74_Need_for_assistnce_ns_pc,F_65_74_yrs_Tot_pc,F_75_84_Need_for_assistance_pc,F_75_84_No_need_for_assistnce_pc,F_75_84_Need_for_assistnce_ns_pc,F_75_84_yrs_Tot_pc,F_85_over_Need_for_assistance_pc,F_85_ov_No_need_for_assistnce_pc,F_85_ov_Need_for_assistnce_ns_pc,F_85_yrs_over_Tot_pc,F_Tot_Need_for_assistance_pc,F_Tot_No_need_for_assistance_pc,F_Tot_Need_for_assistance_ns_pc,F_Tot_Tot_pc,P_0_4_yrs_Need_for_assistance_pc,P_0_4_No_need_for_assistance_pc,P_0_4_Need_for_assistance_ns_pc,P_0_4_yrs_Tot_pc,P_5_14_Need_for_assistance_pc,P_5_14_No_need_for_assistance_pc,P_5_14_Need_for_assistance_ns_pc,P_5_14_yrs_Tot_pc,P_15_19_Need_for_assistance_pc,P_15_19_No_need_for_assistnce_pc,P_15_19_Need_for_assistnce_ns_pc,P_15_19_yrs_Tot_pc,P_20_24_Need_for_assistance_pc,P_20_24_No_need_for_assistnce_pc,P_20_24_Need_for_assistnce_ns_pc,P_20_24_yrs_Tot_pc,P_25_34_Need_for_assistance_pc,P_25_34_No_need_for_assistnce_pc,P_25_34_Need_for_assistnce_ns_pc,P_25_34_yrs_Tot_pc,P_35_44_Need_for_assistance_pc,P_35_44_No_need_for_assistnce_pc,P_35_44_Need_for_assistnce_ns_pc,P_35_44_yrs_Tot_pc,P_45_54_Need_for_assistance_pc,P_45_54_No_need_for_assistnce_pc,P_45_54_Need_for_assistnce_ns_pc,P_45_54_yrs_Tot_pc,P_55_64_Need_for_assistance_pc,P_55_64_No_need_for_assistnce_pc,P_55_64_Need_for_assistnce_ns_pc,P_55_64_yrs_Tot_pc,P_65_74_Need_for_assistance_pc,P_65_74_No_need_for_assistnce_pc,P_65_74_Need_for_assistnce_ns_pc,P_65_74_yrs_Tot_pc,P_75_84_Need_for_assistance_pc,P_75_84_No_need_for_assistnce_pc,P_75_84_Need_for_assistnce_ns_pc,P_75_84_yrs_Tot_pc,P_85_over_Need_for_assistance_pc,P_85_ov_No_need_for_assistnce_pc,P_85_ov_Need_for_assistnce_ns_pc,P_85_yrs_over_Tot_pc,P_Tot_Need_for_assistance_pc,P_Tot_No_need_for_assistance_pc,P_Tot_Need_for_assistance_ns_pc,P_Tot_Tot_pc
Murray Plains,0.0001,0.0235,0.0011,0.0264,0.0037,0.0528,0.0048,0.0627,0.0006,0.0258,0.0015,0.0293,0.0004,0.0225,0.0009,0.0252,0.0009,0.0466,0.003,0.0514,0.001,0.0457,0.0031,0.0502,0.001,0.0522,0.004,0.0587,0.0036,0.0623,0.0041,0.0712,0.0055,0.0545,0.0038,0.0655,0.0061,0.0296,0.0023,0.038,0.0036,0.0066,0.0013,0.0137,0.0338,0.4209,0.0378,0.4932,0.0001,0.0239,0.0015,0.0263,0.0015,0.0539,0.0039,0.061,0.0002,0.0232,0.0014,0.0255,0.0001,0.0224,0.0009,0.0246,0.0006,0.0493,0.0023,0.0548,0.0009,0.048,0.0026,0.0545,0.0019,0.0561,0.0032,0.0616,0.0035,0.0636,0.0034,0.0724,0.004,0.0552,0.0036,0.0634,0.0072,0.0303,0.0022,0.0419,0.0086,0.0083,0.0028,0.0201,0.0359,0.4344,0.0381,0.507,0.0002,0.0471,0.0035,0.052,0.0063,0.1058,0.0096,0.1226,0.0015,0.0489,0.0034,0.0557,0.001,0.0451,0.0025,0.0502,0.002,0.0957,0.0065,0.107,0.0024,0.0937,0.0077,0.1049,0.0043,0.1078,0.0083,0.1214,0.0084,0.1259,0.0088,0.1438,0.0108,0.1091,0.0078,0.1306,0.0141,0.0597,0.0058,0.0802,0.0132,0.0141,0.0044,0.0334,0.0703,0.856,0.074,1.0
Narracan,0.0002,0.0281,0.001,0.0304,0.0039,0.0583,0.0036,0.0676,0.001,0.0251,0.0009,0.0284,0.0004,0.0228,0.0008,0.0254,0.0011,0.0532,0.0024,0.0578,0.001,0.0505,0.0039,0.056,0.0013,0.0528,0.0039,0.0583,0.0025,0.0558,0.0033,0.063,0.004,0.0502,0.0026,0.0594,0.0044,0.0255,0.0009,0.0328,0.0028,0.004,0.0006,0.0082,0.0296,0.4282,0.0304,0.4881,0.0001,0.0279,0.001,0.0299,0.0013,0.0559,0.0038,0.0628,0.0008,0.0254,0.0014,0.0286,0.0003,0.023,0.0004,0.0247,0.0007,0.0586,0.0037,0.0646,0.0013,0.0527,0.0032,0.058,0.0016,0.0584,0.0033,0.064,0.0027,0.0614,0.0032,0.0695,0.0041,0.0525,0.0027,0.0613,0.006,0.0254,0.001,0.0337,0.0065,0.005,0.0011,0.013,0.0325,0.448,0.0307,0.5122,0.0004,0.0557,0.0027,0.0606,0.0064,0.1154,0.008,0.1303,0.0021,0.0516,0.0033,0.0572,0.0012,0.0463,0.0018,0.0504,0.0024,0.1104,0.0076,0.1213,0.0028,0.1029,0.0076,0.1148,0.0037,0.1105,0.007,0.1229,0.0068,0.1189,0.007,0.1329,0.0092,0.103,0.0057,0.1188,0.0113,0.0508,0.0039,0.0668,0.0102,0.0096,0.0019,0.0224,0.0629,0.8759,0.0617,1.0
Narre Warren North,0.0001,0.0284,0.0015,0.0312,0.0032,0.0575,0.0031,0.065,0.0009,0.0287,0.001,0.032,0.0,0.0337,0.0013,0.0363,0.0006,0.0657,0.0043,0.0722,0.0009,0.0607,0.0032,0.0655,0.0015,0.0556,0.0021,0.0613,0.0027,0.0578,0.0017,0.0636,0.0052,0.0372,0.001,0.0437,0.0049,0.0136,0.0004,0.0207,0.0031,0.0015,0.0002,0.0062,0.0305,0.4409,0.0269,0.4983,0.0,0.0273,0.0011,0.0293,0.0011,0.0551,0.0033,0.0606,0.0003,0.027,0.001,0.0298,0.0004,0.0298,0.001,0.0318,0.0007,0.0642,0.0032,0.0704,0.001,0.0613,0.0031,0.0668,0.0024,0.0602,0.0025,0.0666,0.0048,0.0588,0.002,0.0678,0.0063,0.0368,0.0011,0.0464,0.0073,0.0129,0.0005,0.0226,0.007,0.0022,0.0004,0.0106,0.0376,0.4386,0.026,0.5016,0.0002,0.0559,0.0034,0.0604,0.0048,0.114,0.0068,0.1253,0.0015,0.0553,0.0027,0.061,0.001,0.0631,0.0029,0.0688,0.002,0.1305,0.0084,0.1418,0.0029,0.1218,0.0065,0.1326,0.0056,0.1161,0.0055,0.1268,0.009,0.1162,0.0047,0.1311,0.0125,0.0747,0.003,0.0904,0.0134,0.0259,0.0015,0.043,0.0107,0.0049,0.0008,0.0179,0.0672,0.8792,0.0532,1.0
Narre Warren South,0.0,0.0332,0.0013,0.036,0.0039,0.075,0.0037,0.0831,0.0005,0.0346,0.0009,0.0376,0.0005,0.0358,0.0015,0.0394,0.0008,0.0639,0.0038,0.0697,0.001,0.0697,0.0029,0.0751,0.0015,0.0611,0.0019,0.0662,0.0025,0.0468,0.0012,0.052,0.0034,0.0228,0.0005,0.028,0.0027,0.008,0.0002,0.0119,0.0006,0.0004,0.0,0.0019,0.0238,0.4537,0.0244,0.5023,0.0001,0.0318,0.0017,0.0346,0.0009,0.0718,0.0036,0.0773,0.0004,0.0338,0.0012,0.0366,0.0003,0.0331,0.0014,0.0357,0.0007,0.0666,0.0033,0.0724,0.0008,0.0712,0.0028,0.0767,0.0027,0.0632,0.0018,0.0684,0.0041,0.0451,0.001,0.0519,0.0042,0.0235,0.0004,0.0283,0.0041,0.0073,0.0001,0.0124,0.0024,0.0004,0.0,0.0035,0.0272,0.4476,0.0237,0.4981,0.0003,0.0653,0.004,0.0707,0.0056,0.1456,0.008,0.1598,0.0013,0.0692,0.0025,0.0745,0.0015,0.0695,0.0034,0.0752,0.0022,0.1307,0.008,0.1418,0.003,0.1411,0.0068,0.1515,0.0049,0.1247,0.0052,0.1356,0.0073,0.0909,0.0036,0.1033,0.0084,0.0457,0.0013,0.0561,0.0071,0.0155,0.0007,0.0245,0.0037,0.0016,0.0001,0.0071,0.0517,0.9007,0.0483,1.0
Nepean,0.0005,0.0197,0.0008,0.0216,0.0019,0.042,0.004,0.0486,0.0006,0.0205,0.0008,0.0232,0.0001,0.017,0.0007,0.019,0.0007,0.0366,0.0029,0.04,0.0007,0.0397,0.0031,0.0454,0.0016,0.0542,0.005,0.0612,0.0021,0.0619,0.0045,0.0707,0.0043,0.0732,0.0044,0.0834,0.0064,0.0418,0.0029,0.0525,0.0065,0.0096,0.0012,0.0185,0.032,0.4186,0.0367,0.4861,0.0001,0.0183,0.001,0.0194,0.0007,0.0414,0.0034,0.0465,0.0003,0.0194,0.0006,0.0214,0.0002,0.0172,0.001,0.0194,0.0003,0.0389,0.003,0.0425,0.0006,0.0437,0.0032,0.0496,0.0014,0.0575,0.0041,0.0647,0.0027,0.0716,0.0045,0.08,0.0048,0.079,0.0045,0.0884,0.0107,0.0432,0.0037,0.0578,0.0108,0.0098,0.0014,0.0235,0.0372,0.4394,0.0371,0.5134,0.0007,0.0386,0.0023,0.0413,0.0033,0.0834,0.0082,0.096,0.0015,0.0399,0.0024,0.045,0.0005,0.0342,0.0024,0.0379,0.0017,0.0751,0.0061,0.0839,0.0023,0.0842,0.0071,0.0943,0.0035,0.1117,0.0101,0.1255,0.0053,0.134,0.0097,0.1506,0.0093,0.1525,0.0108,0.1731,0.0178,0.0846,0.0079,0.1093,0.0176,0.0201,0.0035,0.0418,0.0685,0.8579,0.0736,1.0
Niddrie,0.0002,0.0261,0.0004,0.0282,0.0025,0.0547,0.001,0.0604,0.0005,0.0272,0.0006,0.029,0.0002,0.0281,0.0007,0.0297,0.0003,0.053,0.0027,0.0577,0.0004,0.0608,0.0013,0.0641,0.0008,0.0635,0.0018,0.0673,0.0012,0.0525,0.0009,0.0572,0.0041,0.0393,0.0008,0.046,0.0076,0.0252,0.0007,0.0343,0.0066,0.0051,0.0002,0.0128,0.0312,0.4377,0.0179,0.4871,0.0001,0.0228,0.0004,0.0246,0.0006,0.0533,0.0017,0.0575,0.0002,0.0268,0.0001,0.0277,0.0001,0.0243,0.0005,0.026,0.0005,0.0532,0.0015,0.0568,0.0007,0.0642,0.0017,0.0682,0.0009,0.0679,0.0018,0.0721,0.003,0.0582,0.0012,0.0631,0.0058,0.0489,0.0009,0.0561,0.0127,0.0283,0.0011,0.042,0.0125,0.005,0.0004,0.0187,0.0416,0.4539,0.0182,0.5133,0.0003,0.0493,0.0012,0.0516,0.0037,0.1083,0.0038,0.1174,0.0008,0.0547,0.0008,0.0573,0.0004,0.0521,0.0014,0.0549,0.0012,0.1077,0.0049,0.1146,0.0019,0.1252,0.0043,0.1327,0.0024,0.1323,0.0045,0.1396,0.0055,0.1099,0.0028,0.1202,0.0105,0.0877,0.0021,0.1022,0.0212,0.0522,0.0024,0.0765,0.0193,0.0112,0.0011,0.0324,0.0729,0.8914,0.0363,1.0
Northcote,0.0,0.0243,0.0003,0.0247,0.0014,0.0475,0.0011,0.0508,0.0003,0.0208,0.0002,0.0222,0.0002,0.024,0.001,0.0261,0.0004,0.0866,0.0035,0.0916,0.0007,0.077,0.0027,0.082,0.0009,0.0661,0.0018,0.0706,0.0021,0.0451,0.001,0.0495,0.0027,0.0263,0.0005,0.031,0.0048,0.0121,0.0004,0.0179,0.0043,0.0023,0.0001,0.0079,0.0244,0.4344,0.018,0.4765,0.0,0.0235,0.0002,0.0245,0.0003,0.0459,0.0009,0.0488,0.0,0.022,0.0004,0.0234,0.0001,0.0267,0.0006,0.0279,0.0006,0.1015,0.0031,0.1057,0.0008,0.083,0.0028,0.0876,0.0011,0.0718,0.0017,0.0756,0.0016,0.0505,0.0009,0.0545,0.0033,0.0316,0.0006,0.0369,0.0088,0.0131,0.0007,0.0234,0.0081,0.003,0.0003,0.0133,0.0317,0.4747,0.0184,0.5233,0.0,0.0475,0.0007,0.0492,0.0026,0.0935,0.0029,0.1008,0.0006,0.0432,0.0011,0.0456,0.0005,0.0517,0.002,0.0544,0.0015,0.1871,0.0077,0.1984,0.0021,0.161,0.0065,0.1693,0.0029,0.1377,0.0042,0.147,0.0042,0.0962,0.0034,0.1055,0.0064,0.0586,0.0019,0.0675,0.0149,0.0252,0.0015,0.0425,0.0143,0.0065,0.0003,0.0212,0.0554,0.9087,0.0362,1.0
Oakleigh,0.0,0.0242,0.0006,0.0249,0.0009,0.0428,0.0011,0.0461,0.0001,0.0229,0.0004,0.024,0.0002,0.0532,0.0032,0.0565,0.0004,0.1049,0.007,0.1132,0.0002,0.0683,0.0027,0.072,0.0007,0.0529,0.0014,0.0559,0.0016,0.0417,0.0007,0.045,0.0023,0.0262,0.0008,0.0306,0.0045,0.0139,0.0007,0.0194,0.0046,0.0034,0.0006,0.0098,0.0215,0.4548,0.0248,0.5022,0.0,0.0216,0.0004,0.0229,0.0004,0.0415,0.001,0.0442,0.0,0.0226,0.0005,0.0244,0.0003,0.0479,0.0025,0.0517,0.0002,0.0955,0.0048,0.1011,0.0006,0.0653,0.0021,0.0695,0.0004,0.0544,0.0011,0.0586,0.0021,0.0446,0.0007,0.0483,0.0041,0.0304,0.0007,0.0359,0.0087,0.0162,0.0008,0.0273,0.0092,0.0035,0.0013,0.0155,0.0299,0.4437,0.0231,0.4983,0.0,0.046,0.0015,0.0483,0.0016,0.0836,0.0029,0.0899,0.0003,0.0466,0.0011,0.0489,0.0006,0.1014,0.0059,0.1093,0.0014,0.199,0.0121,0.2141,0.0011,0.1339,0.0059,0.1426,0.002,0.1079,0.0035,0.1146,0.0038,0.0861,0.0028,0.0933,0.0071,0.0569,0.0025,0.0674,0.0141,0.0301,0.0019,0.0471,0.0142,0.0076,0.002,0.0254,0.0522,0.8997,0.0475,1.0
Ovens Valley,0.0002,0.0225,0.0008,0.0242,0.0029,0.0529,0.0033,0.0607,0.0011,0.025,0.0006,0.0286,0.0002,0.0189,0.0006,0.0212,0.0006,0.0443,0.003,0.0492,0.0007,0.0465,0.0027,0.0512,0.0017,0.054,0.0022,0.0599,0.0029,0.0616,0.0035,0.0698,0.0052,0.0602,0.0033,0.07,0.0064,0.031,0.0021,0.0416,0.0041,0.0059,0.0009,0.0122,0.0346,0.425,0.0314,0.4912,0.0,0.0231,0.0005,0.0244,0.0015,0.0515,0.0031,0.0571,0.0001,0.0235,0.0015,0.0258,0.0003,0.0189,0.0009,0.021,0.0004,0.0452,0.0023,0.0509,0.001,0.0509,0.0024,0.0549,0.0019,0.0597,0.0032,0.0651,0.0029,0.065,0.0033,0.0736,0.0051,0.0609,0.003,0.0718,0.0085,0.0323,0.0028,0.0451,0.0094,0.0074,0.0016,0.0188,0.038,0.4401,0.0319,0.5095,0.0003,0.0444,0.0019,0.0482,0.005,0.1054,0.0074,0.1175,0.0015,0.0495,0.0026,0.055,0.001,0.0364,0.0024,0.0417,0.0016,0.0899,0.0062,0.0993,0.0024,0.0972,0.0059,0.1062,0.0041,0.1142,0.0075,0.1259,0.0081,0.1275,0.0073,0.1433,0.0117,0.1221,0.0085,0.1425,0.0151,0.0645,0.0053,0.0858,0.0151,0.0145,0.0024,0.0324,0.0714,0.8643,0.0631,1.0
Pakenham,0.0005,0.0409,0.0014,0.0441,0.0059,0.0688,0.0039,0.0787,0.0007,0.0261,0.001,0.0297,0.0004,0.0275,0.0008,0.0304,0.0004,0.0808,0.0034,0.0864,0.0006,0.0749,0.0029,0.0799,0.0009,0.0497,0.0019,0.0537,0.0017,0.0335,0.0008,0.0369,0.0021,0.0233,0.0005,0.0282,0.0024,0.0121,0.0006,0.0161,0.001,0.0018,0.0001,0.0037,0.0234,0.441,0.0239,0.4882,0.0002,0.0394,0.0016,0.0424,0.0021,0.0681,0.0032,0.0752,0.0005,0.0252,0.0009,0.0275,0.0001,0.0294,0.0007,0.0317,0.0011,0.0896,0.0037,0.095,0.0015,0.0755,0.0028,0.0811,0.0019,0.0513,0.002,0.0561,0.002,0.0378,0.0008,0.0423,0.0035,0.029,0.0008,0.0351,0.0039,0.0132,0.0007,0.0189,0.0031,0.0022,0.0006,0.0062,0.0253,0.4598,0.0259,0.512,0.0009,0.0809,0.0035,0.0862,0.008,0.1366,0.0079,0.1541,0.0016,0.0511,0.0025,0.0569,0.0009,0.0567,0.0023,0.0609,0.0021,0.1703,0.0089,0.1816,0.0024,0.1507,0.0067,0.1609,0.0029,0.1004,0.0048,0.1106,0.0041,0.0711,0.0024,0.0787,0.0065,0.0523,0.0019,0.0626,0.0069,0.0254,0.0019,0.0357,0.005,0.0045,0.0009,0.0109,0.0489,0.9015,0.0494,1.0
Pascoe Vale,0.0,0.0272,0.0002,0.0284,0.0019,0.0494,0.0014,0.0537,0.0004,0.0222,0.0005,0.0237,0.0001,0.0306,0.0007,0.0326,0.0004,0.0852,0.0036,0.0906,0.0006,0.0773,0.0027,0.0819,0.0013,0.0604,0.0021,0.0649,0.0019,0.0441,0.0015,0.0489,0.0034,0.0244,0.0007,0.0299,0.0053,0.0111,0.0005,0.0186,0.0058,0.0031,0.0005,0.0105,0.0281,0.4353,0.0196,0.4829,0.0,0.0267,0.0006,0.0282,0.0007,0.049,0.0017,0.0518,0.0002,0.0215,0.0004,0.0233,0.0001,0.03,0.0009,0.0312,0.0011,0.0908,0.0042,0.0967,0.0009,0.0811,0.0024,0.0854,0.0017,0.0647,0.0014,0.0697,0.0027,0.0463,0.0013,0.0511,0.0048,0.0285,0.0007,0.0359,0.0102,0.0139,0.0007,0.0244,0.0122,0.0041,0.0013,0.0191,0.0395,0.4556,0.0215,0.5165,0.0,0.0539,0.0014,0.0567,0.0033,0.0984,0.0032,0.106,0.0011,0.0433,0.0011,0.0463,0.0007,0.0607,0.0019,0.0639,0.0021,0.176,0.0076,0.1877,0.0023,0.1579,0.0061,0.1666,0.0034,0.1246,0.0044,0.1341,0.0051,0.0899,0.0034,0.0991,0.0094,0.0532,0.0017,0.0653,0.0158,0.0246,0.0018,0.0434,0.019,0.0081,0.0019,0.0299,0.0669,0.8922,0.0417,1.0
Point Cook,0.0003,0.037,0.0013,0.0398,0.0043,0.0771,0.0041,0.0863,0.0007,0.027,0.001,0.0305,0.0003,0.0237,0.0015,0.0258,0.0003,0.0613,0.0038,0.0657,0.0005,0.0947,0.0045,0.1002,0.0005,0.0615,0.0022,0.0659,0.0015,0.0375,0.001,0.0412,0.0026,0.0231,0.0006,0.0277,0.0021,0.0068,0.0002,0.0101,0.0012,0.0008,0.0,0.0023,0.0203,0.4518,0.0251,0.4972,0.0001,0.0352,0.0016,0.0381,0.0012,0.0748,0.0029,0.0802,0.0003,0.0238,0.0008,0.0265,0.0002,0.0232,0.0007,0.0253,0.0004,0.0686,0.003,0.0734,0.0006,0.0957,0.0044,0.102,0.0015,0.0598,0.0021,0.065,0.0027,0.0393,0.0009,0.0437,0.0035,0.0249,0.0004,0.0309,0.004,0.0071,0.0002,0.0127,0.003,0.001,0.0002,0.0045,0.0234,0.4556,0.0235,0.5024,0.0005,0.0726,0.0036,0.0782,0.0063,0.1518,0.0077,0.1676,0.0014,0.0511,0.0024,0.0564,0.0006,0.0474,0.0026,0.0518,0.0012,0.129,0.008,0.1391,0.0016,0.1906,0.0093,0.2028,0.0027,0.1213,0.0053,0.1298,0.0046,0.0769,0.003,0.0853,0.0077,0.049,0.0018,0.0581,0.0072,0.0153,0.0007,0.0236,0.0046,0.0019,0.0002,0.0073,0.0439,0.9079,0.0486,1.0
Polwarth,0.0001,0.0262,0.001,0.028,0.0017,0.0591,0.0038,0.0661,0.0004,0.0263,0.0011,0.0284,0.0001,0.0215,0.0008,0.0236,0.0008,0.0465,0.0032,0.0517,0.0005,0.0557,0.0025,0.0603,0.0013,0.0582,0.0037,0.065,0.0021,0.061,0.0035,0.0684,0.0029,0.0573,0.0029,0.0651,0.0047,0.0252,0.0013,0.0319,0.0025,0.0044,0.0005,0.0084,0.0249,0.4417,0.0321,0.4982,0.0001,0.0255,0.0008,0.0271,0.0008,0.0547,0.0036,0.0599,0.0001,0.0241,0.0009,0.0266,0.0001,0.0177,0.0005,0.0196,0.0004,0.0484,0.0026,0.0527,0.0007,0.0591,0.0031,0.0643,0.0012,0.0614,0.0026,0.067,0.002,0.0646,0.0032,0.0706,0.0032,0.0566,0.003,0.0645,0.0052,0.0263,0.0015,0.0345,0.0069,0.0052,0.0012,0.0142,0.0275,0.446,0.029,0.502,0.0001,0.0515,0.0025,0.0552,0.0039,0.1138,0.0076,0.1263,0.0011,0.0503,0.0026,0.0556,0.0004,0.0392,0.0015,0.0432,0.0018,0.0943,0.0065,0.1038,0.0017,0.116,0.0063,0.1248,0.0033,0.1197,0.0071,0.1316,0.0051,0.1253,0.0071,0.1382,0.0077,0.114,0.0076,0.1299,0.0102,0.0511,0.0035,0.0665,0.0103,0.0107,0.0023,0.0243,0.0523,0.887,0.0619,1.0
Prahran,0.0,0.0145,0.0005,0.0154,0.0004,0.0186,0.0008,0.0207,0.0,0.0102,0.0004,0.0118,0.0001,0.0316,0.0015,0.034,0.0003,0.1448,0.0093,0.1559,0.0006,0.0863,0.0054,0.0935,0.0009,0.0482,0.0038,0.0532,0.0016,0.0382,0.0023,0.0433,0.0012,0.0266,0.0017,0.0311,0.0026,0.0147,0.0014,0.0194,0.0022,0.0024,0.0012,0.0068,0.0147,0.4372,0.0342,0.4869,0.0,0.0158,0.0004,0.0169,0.0002,0.0192,0.0008,0.0212,0.0,0.0113,0.0003,0.0123,0.0001,0.0412,0.0024,0.0453,0.0007,0.1566,0.0098,0.169,0.0006,0.0795,0.0047,0.0856,0.0008,0.0467,0.0033,0.0517,0.001,0.0381,0.0024,0.0433,0.0022,0.0313,0.0021,0.0369,0.0047,0.0152,0.0014,0.0223,0.0051,0.0026,0.0023,0.0103,0.0184,0.4596,0.0361,0.5136,0.0001,0.0298,0.0012,0.0316,0.0007,0.0381,0.0021,0.0417,0.0,0.0217,0.0012,0.0245,0.0003,0.0734,0.0044,0.0788,0.0014,0.302,0.0193,0.3249,0.0015,0.165,0.0102,0.1787,0.0024,0.095,0.008,0.1053,0.0027,0.0768,0.0056,0.0864,0.0034,0.0587,0.0047,0.0681,0.0076,0.0296,0.0033,0.0421,0.0078,0.0059,0.0038,0.0178,0.0334,0.8978,0.0685,1.0
Preston,0.0,0.0284,0.0009,0.0304,0.002,0.0447,0.0024,0.0496,0.0003,0.019,0.0006,0.021,0.0002,0.0299,0.0013,0.0331,0.0008,0.0885,0.0044,0.0946,0.0011,0.0732,0.0036,0.0795,0.0022,0.0588,0.0022,0.0648,0.0027,0.0438,0.0019,0.0493,0.0047,0.0283,0.0011,0.0353,0.0072,0.0157,0.0011,0.0246,0.0061,0.0035,0.0011,0.012,0.0326,0.4324,0.0267,0.493,0.0002,0.0258,0.001,0.0277,0.0005,0.0423,0.0015,0.0459,0.0002,0.018,0.0005,0.0204,0.0003,0.0282,0.0008,0.0296,0.0013,0.0876,0.0042,0.0939,0.0011,0.0754,0.0033,0.0808,0.0025,0.059,0.0021,0.0643,0.0044,0.0454,0.0016,0.0523,0.006,0.0324,0.0012,0.0408,0.011,0.018,0.0016,0.0317,0.0107,0.0047,0.002,0.0185,0.0437,0.4372,0.0261,0.5072,0.0002,0.055,0.0024,0.0582,0.0029,0.0868,0.0044,0.0954,0.0008,0.0377,0.0015,0.0416,0.0006,0.0577,0.0028,0.0619,0.0027,0.1759,0.0096,0.1884,0.003,0.1484,0.0073,0.1602,0.0054,0.1178,0.0055,0.1292,0.0084,0.0878,0.0045,0.1016,0.0112,0.0606,0.0036,0.0761,0.0186,0.0335,0.0033,0.0556,0.018,0.0099,0.0032,0.031,0.0756,0.8695,0.0535,1.0
