district,M_0_4_yrs_Need_for_assistance_n,M_0_4_No_need_for_assistance_n,M_0_4_Need_for_assistance_ns_n,M_0_4_yrs_Tot_n,M_5_14_Need_for_assistance_n,M_5_14_No_need_for_assistance_n,M_5_14_Need_for_assistance_ns_n,M_5_14_yrs_Tot_n,M_15_19_Need_for_assistance_n,M_15_19_No_need_for_assistnce_n,M_15_19_Need_for_assistnce_ns_n,M_15_19_yrs_Tot_n,M_20_24_Need_for_assistance_n,M_20_24_No_need_for_assistnce_n,M_20_24_Need_for_assistnce_ns_n,M_20_24_yrs_Tot_n,M_25_34_Need_for_assistance_n,M_25_34_No_need_for_assistnce_n,M_25_34_Need_for_assistnce_ns_n,M_25_34_yrs_Tot_n,M_35_44_Need_for_assistance_n,M_35_44_No_need_for_assistnce_n,M_35_44_Need_for_assistnce_ns_n,M_35_44_yrs_Tot_n,M_45_54_Need_for_assistance_n,M_45_54_No_need_for_assistnce_n,M_45_54_Need_for_assistnce_ns_n,M_45_54_yrs_Tot_n,M_55_64_Need_for_assistance_n,M_55_64_No_need_for_assistnce_n,M_55_64_Need_for_assistnce_ns_n,M_55_64_yrs_Tot_n,M_65_74_Need_for_assistance_n,M_65_74_No_need_for_assistnce_n,M_65_74_Need_for_assistnce_ns_n,M_65_74_yrs_Tot_n,M_75_84_Need_for_assistance_n,M_75_84_No_need_for_assistnce_n,M_75_84_Need_for_assistnce_ns_n,M_75_84_yrs_Tot_n,M_85_over_Need_for_assistance_n,M_85_ov_No_need_for_assistnce_n,M_85_ov_Need_for_assistnce_ns_n,M_85_yrs_over_Tot_n,M_Tot_Need_for_assistance_n,M_Tot_No_need_for_assistance_n,M_Tot_Need_for_assistance_ns_n,M_Tot_Tot_n,F_0_4_yrs_Need_for_assistance_n,F_0_4_No_need_for_assistance_n,F_0_4_Need_for_assistance_ns_n,F_0_4_yrs_Tot_n,F_5_14_Need_for_assistance_n,F_5_14_No_need_for_assistance_n,F_5_14_Need_for_assistance_ns_n,F_5_14_yrs_Tot_n,F_15_19_Need_for_assistance_n,F_15_19_No_need_for_assistnce_n,F_15_19_Need_for_assistnce_ns_n,F_15_19_yrs_Tot_n,F_20_24_Need_for_assistance_n,F_20_24_No_need_for_assistnce_n,F_20_24_Need_for_assistnce_ns_n,F_20_24_yrs_Tot_n,F_25_34_Need_for_assistance_n,F_25_34_No_need_for_assistnce_n,F_25_34_Need_for_assistnce_ns_n,F_25_34_yrs_Tot_n,F_35_44_Need_for_assistance_n,F_35_44_No_need_for_assistnce_n,F_35_44_Need_for_assistnce_ns_n,F_35_44_yrs_Tot_n,F_45_54_Need_for_assistance_n,F_45_54_No_need_for_assistnce_n,F_45_54_Need_for_assistnce_ns_n,F_45_54_yrs_Tot_n,F_55_64_Need_for_assistance_n,F_55_64_No_need_for_assistnce_n,F_55_64_Need_for_assistnce_ns_n,F_55_64_yrs_Tot_n,F_65_74_Need_for_assistance_n,F_65_74_No_need_for_assistnce_n,F_65_74_Need_for_assistnce_ns_n,F_65_74_yrs_Tot_n,F_75_84_Need_for_assistance_n,F_75_84_No_need_for_assistnce_n,F_75_84_Need_for_assistnce_ns_n,F_75_84_yrs_Tot_n,F_85_over_Need_for_assistance_n,F_85_ov_No_need_for_assistnce_n,F_85_ov_Need_for_assistnce_ns_n,F_85_yrs_over_Tot_n,F_Tot_Need_for_assistance_n,F_Tot_No_need_for_assistance_n,F_Tot_Need_for_assistance_ns_n,F_Tot_Tot_n,P_0_4_yrs_Need_for_assistance_n,P_0_4_No_need_for_assistance_n,P_0_4_Need_for_assistance_ns_n,P_0_4_yrs_Tot_n,P_5_14_Need_for_assistance_n,P_5_14_No_need_for_assistance_n,P_5_14_Need_for_assistance_ns_n,P_5_14_yrs_Tot_n,P_15_19_Need_for_assistance_n,P_15_19_No_need_for_assistnce_n,P_15_19_Need_for_assistnce_ns_n,P_15_19_yrs_Tot_n,P_20_24_Need_for_assistance_n,P_20_24_No_need_for_assistnce_n,P_20_24_Need_for_assistnce_ns_n,P_20_24_yrs_Tot_n,P_25_34_Need_for_assistance_n,P_25_34_No_need_for_assistnce_n,P_25_34_Need_for_assistnce_ns_n,P_25_34_yrs_Tot_n,P_35_44_Need_for_assistance_n,P_35_44_No_need_for_assistnce_n,P_35_44_Need_for_assistnce_ns_n,P_35_44_yrs_Tot_n,P_45_54_Need_for_assistance_n,P_45_54_No_need_for_assistnce_n,P_45_54_Need_for_assistnce_ns_n,P_45_54_yrs_Tot_n,P_55_64_Need_for_assistance_n,P_55_64_No_need_for_assistnce_n,P_55_64_Need_for_assistnce_ns_n,P_55_64_yrs_Tot_n,P_65_74_Need_for_assistance_n,P_65_74_No_need_for_assistnce_n,P_65_74_Need_for_assistnce_ns_n,P_65_74_yrs_Tot_n,P_75_84_Need_for_assistance_n,P_75_84_No_need_for_assistnce_n,P_75_84_Need_for_assistnce_ns_n,P_75_84_yrs_Tot_n,P_85_over_Need_for_assistance_n,P_85_ov_No_need_for_assistnce_n,P_85_ov_Need_for_assistnce_ns_n,P_85_yrs_over_Tot_n,P_Tot_Need_for_assistance_n,P_Tot_No_need_for_assistance_n,P_Tot_Need_for_assistance_ns_n,P_Tot_Tot_n,P_Tot_Tot_total
Northcote,0.0,1642.0,18.0,1663.0,94.0,3204.0,71.0,3429.0,19.0,1402.0,11.0,1496.0,12.0,1618.0,68.0,1762.0,25.0,5840.0,236.0,6176.0,45.0,5197.0,183.0,5528.0,63.0,4460.0,121.0,4765.0,143.0,3045.0,68.0,3338.0,181.0,1773.0,33.0,2089.0,325.0,816.0,24.0,1210.0,287.0,155.0,4.0,533.0,1645.0,29303.0,1211.0,32142.0,0.0,1587.0,15.0,1652.0,18.0,3099.0,63.0,3295.0,0.0,1481.0,28.0,1576.0,7.0,1802.0,41.0,1880.0,41.0,6844.0,210.0,7129.0,54.0,5598.0,187.0,5910.0,74.0,4844.0,115.0,5098.0,105.0,3407.0,63.0,3679.0,220.0,2130.0,40.0,2492.0,594.0,884.0,44.0,1576.0,547.0,203.0,20.0,896.0,2135.0,32017.0,1240.0,35297.0,3.0,3206.0,46.0,3317.0,174.0,6304.0,197.0,6801.0,38.0,2915.0,77.0,3073.0,33.0,3488.0,137.0,3667.0,99.0,12621.0,520.0,13381.0,141.0,10858.0,438.0,11417.0,198.0,9286.0,282.0,9918.0,283.0,6488.0,230.0,7117.0,433.0,3952.0,125.0,4554.0,1006.0,1700.0,103.0,2870.0,962.0,441.0,22.0,1431.0,3734.0,61293.0,2442.0,67452.0,67452.0
Oakleigh,0.0,2176.0,56.0,2241.0,78.0,3847.0,100.0,4146.0,11.0,2059.0,34.0,2161.0,20.0,4782.0,289.0,5083.0,37.0,9431.0,627.0,10182.0,18.0,6145.0,241.0,6470.0,59.0,4756.0,125.0,5027.0,140.0,3751.0,65.0,4046.0,207.0,2358.0,71.0,2752.0,403.0,1254.0,59.0,1746.0,418.0,303.0,50.0,881.0,1929.0,40900.0,2234.0,45155.0,3.0,1940.0,35.0,2060.0,34.0,3729.0,88.0,3977.0,4.0,2033.0,48.0,2195.0,23.0,4304.0,225.0,4645.0,21.0,8585.0,431.0,9091.0,50.0,5869.0,188.0,6252.0,38.0,4890.0,99.0,5269.0,188.0,4011.0,67.0,4343.0,367.0,2738.0,62.0,3225.0,780.0,1454.0,71.0,2459.0,827.0,313.0,113.0,1396.0,2687.0,39900.0,2073.0,44812.0,3.0,4139.0,133.0,4340.0,148.0,7518.0,262.0,8080.0,29.0,4187.0,99.0,4399.0,57.0,9119.0,527.0,9827.0,124.0,17891.0,1090.0,19257.0,96.0,12043.0,528.0,12819.0,181.0,9702.0,319.0,10304.0,346.0,7740.0,254.0,8394.0,641.0,5113.0,226.0,6058.0,1264.0,2704.0,167.0,4236.0,1274.0,682.0,176.0,2280.0,4694.0,80905.0,4271.0,89923.0,89923.0
Ovens Valley,13.0,1425.0,53.0,1529.0,186.0,3343.0,206.0,3840.0,71.0,1584.0,41.0,1808.0,14.0,1198.0,41.0,1343.0,40.0,2799.0,188.0,3113.0,46.0,2941.0,170.0,3235.0,107.0,3415.0,141.0,3787.0,185.0,3895.0,221.0,4413.0,331.0,3806.0,207.0,4429.0,407.0,1963.0,130.0,2629.0,261.0,374.0,56.0,771.0,2191.0,26876.0,1983.0,31062.0,3.0,1461.0,33.0,1541.0,92.0,3259.0,194.0,3611.0,7.0,1484.0,94.0,1634.0,16.0,1195.0,59.0,1327.0,27.0,2861.0,145.0,3219.0,64.0,3220.0,149.0,3471.0,118.0,3777.0,203.0,4116.0,185.0,4112.0,210.0,4656.0,325.0,3852.0,187.0,4542.0,536.0,2041.0,180.0,2852.0,594.0,467.0,101.0,1190.0,2403.0,27835.0,2019.0,32220.0,16.0,2808.0,120.0,3051.0,315.0,6668.0,471.0,7430.0,94.0,3131.0,165.0,3476.0,63.0,2300.0,150.0,2640.0,104.0,5688.0,389.0,6283.0,150.0,6150.0,375.0,6714.0,261.0,7220.0,477.0,7964.0,515.0,8062.0,463.0,9061.0,739.0,7721.0,539.0,9014.0,955.0,4081.0,335.0,5424.0,952.0,914.0,154.0,2052.0,4517.0,54658.0,3991.0,63243.0,63243.0
Pakenham,36.0,3122.0,106.0,3366.0,453.0,5257.0,298.0,6010.0,55.0,1997.0,76.0,2269.0,32.0,2099.0,60.0,2319.0,28.0,6170.0,262.0,6596.0,45.0,5725.0,218.0,6105.0,71.0,3800.0,148.0,4102.0,127.0,2562.0,64.0,2822.0,160.0,1783.0,41.0,2156.0,181.0,923.0,45.0,1232.0,76.0,137.0,6.0,282.0,1791.0,33683.0,1829.0,37291.0,15.0,3010.0,121.0,3238.0,164.0,5205.0,244.0,5747.0,35.0,1924.0,65.0,2100.0,11.0,2244.0,51.0,2418.0,81.0,6843.0,283.0,7254.0,111.0,5767.0,215.0,6198.0,145.0,3918.0,152.0,4283.0,156.0,2887.0,64.0,3232.0,270.0,2213.0,64.0,2681.0,296.0,1011.0,57.0,1443.0,236.0,166.0,46.0,477.0,1931.0,35124.0,1975.0,39109.0,65.0,6176.0,265.0,6587.0,611.0,10432.0,602.0,11774.0,119.0,3906.0,190.0,4345.0,69.0,4331.0,174.0,4652.0,163.0,13005.0,682.0,13874.0,187.0,11515.0,512.0,12289.0,220.0,7670.0,366.0,8449.0,314.0,5433.0,186.0,6013.0,500.0,3996.0,142.0,4781.0,524.0,1944.0,144.0,2724.0,381.0,340.0,71.0,834.0,3738.0,68860.0,3772.0,76386.0,76386.0
Pascoe Vale,3.0,1878.0,12.0,1958.0,133.0,3410.0,95.0,3703.0,27.0,1532.0,37.0,1638.0,8.0,2112.0,46.0,2246.0,31.0,5875.0,248.0,6252.0,42.0,5330.0,186.0,5651.0,87.0,4164.0,145.0,4475.0,132.0,3039.0,103.0,3371.0,233.0,1683.0,45.0,2061.0,367.0,768.0,36.0,1283.0,402.0,216.0,33.0,721.0,1938.0,30024.0,1352.0,33309.0,0.0,1841.0,44.0,1948.0,48.0,3379.0,118.0,3576.0,17.0,1484.0,26.0,1604.0,6.0,2069.0,64.0,2150.0,74.0,6263.0,288.0,6669.0,61.0,5597.0,166.0,5892.0,119.0,4463.0,96.0,4805.0,189.0,3196.0,90.0,3528.0,332.0,1966.0,48.0,2475.0,707.0,959.0,48.0,1685.0,841.0,285.0,90.0,1318.0,2722.0,31426.0,1483.0,35628.0,3.0,3715.0,96.0,3908.0,230.0,6790.0,222.0,7314.0,73.0,2984.0,73.0,3196.0,47.0,4184.0,128.0,4406.0,147.0,12142.0,527.0,12949.0,158.0,10888.0,419.0,11490.0,234.0,8597.0,305.0,9248.0,350.0,6199.0,236.0,6835.0,650.0,3668.0,116.0,4506.0,1087.0,1697.0,125.0,2991.0,1312.0,557.0,134.0,2063.0,4612.0,61543.0,2873.0,68976.0,68976.0
Point Cook,28.0,3426.0,122.0,3690.0,402.0,7145.0,384.0,7994.0,68.0,2497.0,94.0,2827.0,26.0,2192.0,135.0,2387.0,31.0,5677.0,350.0,6086.0,45.0,8773.0,418.0,9282.0,47.0,5695.0,207.0,6106.0,137.0,3471.0,97.0,3815.0,241.0,2138.0,56.0,2564.0,199.0,626.0,18.0,938.0,115.0,78.0,3.0,214.0,1878.0,41853.0,2326.0,46055.0,7.0,3259.0,146.0,3534.0,115.0,6930.0,272.0,7431.0,24.0,2204.0,71.0,2451.0,15.0,2152.0,62.0,2344.0,39.0,6358.0,282.0,6803.0,58.0,8865.0,403.0,9453.0,141.0,5539.0,190.0,6023.0,252.0,3636.0,83.0,4046.0,325.0,2308.0,41.0,2866.0,373.0,657.0,19.0,1175.0,278.0,92.0,14.0,421.0,2171.0,42200.0,2175.0,46538.0,43.0,6723.0,333.0,7240.0,588.0,14066.0,710.0,15524.0,132.0,4738.0,225.0,5228.0,57.0,4390.0,245.0,4794.0,110.0,11953.0,744.0,12882.0,148.0,17656.0,858.0,18788.0,248.0,11238.0,487.0,12025.0,430.0,7122.0,276.0,7898.0,709.0,4539.0,163.0,5384.0,669.0,1414.0,68.0,2184.0,428.0,175.0,17.0,672.0,4064.0,84107.0,4506.0,92635.0,92635.0
Polwarth,8.0,1846.0,72.0,1971.0,119.0,4155.0,268.0,4648.0,25.0,1850.0,77.0,2001.0,5.0,1511.0,53.0,1657.0,57.0,3274.0,222.0,3640.0,35.0,3920.0,177.0,4242.0,94.0,4094.0,261.0,4575.0,147.0,4292.0,246.0,4813.0,207.0,4030.0,204.0,4583.0,332.0,1772.0,90.0,2241.0,174.0,311.0,37.0,594.0,1749.0,31075.0,2259.0,35044.0,4.0,1793.0,59.0,1908.0,55.0,3847.0,251.0,4214.0,7.0,1697.0,63.0,1868.0,10.0,1246.0,36.0,1381.0,30.0,3406.0,182.0,3704.0,49.0,4161.0,215.0,4524.0,87.0,4322.0,183.0,4716.0,138.0,4541.0,224.0,4969.0,222.0,3985.0,211.0,4538.0,369.0,1848.0,104.0,2424.0,484.0,368.0,84.0,996.0,1934.0,31376.0,2041.0,35311.0,8.0,3626.0,177.0,3883.0,271.0,8009.0,533.0,8885.0,79.0,3541.0,183.0,3908.0,28.0,2761.0,107.0,3039.0,126.0,6632.0,454.0,7302.0,123.0,8160.0,443.0,8778.0,233.0,8420.0,501.0,9261.0,357.0,8813.0,502.0,9721.0,545.0,8021.0,536.0,9140.0,719.0,3598.0,246.0,4675.0,724.0,753.0,165.0,1712.0,3677.0,62401.0,4356.0,70347.0,70347.0
Prahran,0.0,1054.0,37.0,1116.0,26.0,1348.0,55.0,1500.0,0.0,742.0,31.0,855.0,8.0,2290.0,106.0,2465.0,23.0,10499.0,675.0,11301.0,45.0,6253.0,394.0,6776.0,64.0,3495.0,274.0,3859.0,119.0,2772.0,170.0,3139.0,85.0,1927.0,123.0,2253.0,186.0,1068.0,101.0,1408.0,162.0,172.0,88.0,491.0,1066.0,31693.0,2482.0,35298.0,0.0,1142.0,29.0,1228.0,11.0,1393.0,60.0,1537.0,0.0,821.0,25.0,889.0,10.0,2985.0,176.0,3282.0,53.0,11351.0,714.0,12254.0,42.0,5760.0,342.0,6208.0,56.0,3389.0,242.0,3748.0,76.0,2759.0,175.0,3137.0,156.0,2268.0,154.0,2674.0,338.0,1104.0,99.0,1618.0,368.0,192.0,165.0,748.0,1332.0,33321.0,2618.0,37237.0,5.0,2160.0,90.0,2292.0,52.0,2764.0,151.0,3021.0,0.0,1574.0,89.0,1773.0,24.0,5318.0,322.0,5716.0,100.0,21892.0,1401.0,23557.0,108.0,11959.0,737.0,12955.0,177.0,6886.0,578.0,7637.0,198.0,5566.0,404.0,6265.0,248.0,4254.0,338.0,4940.0,548.0,2143.0,236.0,3049.0,568.0,426.0,272.0,1290.0,2423.0,65085.0,4968.0,72496.0,72496.0
Preston,3.0,2104.0,63.0,2246.0,148.0,3304.0,174.0,3670.0,21.0,1405.0,47.0,1554.0,16.0,2212.0,99.0,2450.0,60.0,6547.0,328.0,6997.0,78.0,5415.0,268.0,5881.0,163.0,4347.0,162.0,4793.0,201.0,3236.0,142.0,3646.0,346.0,2092.0,84.0,2613.0,533.0,1158.0,82.0,1819.0,454.0,260.0,78.0,884.0,2413.0,31983.0,1974.0,36467.0,15.0,1911.0,74.0,2050.0,37.0,3130.0,114.0,3398.0,13.0,1328.0,35.0,1510.0,19.0,2089.0,56.0,2186.0,97.0,6480.0,309.0,6944.0,83.0,5580.0,242.0,5980.0,185.0,4367.0,154.0,4757.0,329.0,3361.0,115.0,3871.0,441.0,2400.0,88.0,3016.0,810.0,1331.0,122.0,2342.0,793.0,351.0,150.0,1368.0,3230.0,32340.0,1934.0,37515.0,18.0,4069.0,175.0,4304.0,217.0,6421.0,329.0,7054.0,60.0,2788.0,108.0,3080.0,46.0,4265.0,204.0,4580.0,200.0,13011.0,713.0,13935.0,219.0,10973.0,540.0,11851.0,401.0,8710.0,407.0,9557.0,622.0,6497.0,336.0,7515.0,831.0,4480.0,265.0,5630.0,1377.0,2475.0,247.0,4110.0,1333.0,732.0,235.0,2292.0,5594.0,64316.0,3954.0,73965.0,73965.0
Richmond,0.0,1268.0,67.0,1373.0,26.0,1764.0,111.0,1975.0,4.0,744.0,34.0,819.0,9.0,2028.0,107.0,2234.0,12.0,9828.0,567.0,10493.0,52.0,5798.0,321.0,6274.0,58.0,3537.0,222.0,3892.0,114.0,2787.0,171.0,3155.0,120.0,1696.0,78.0,2005.0,172.0,664.0,25.0,945.0,132.0,66.0,7.0,279.0,1051.0,30209.0,2063.0,33346.0,0.0,1261.0,58.0,1361.0,23.0,1918.0,115.0,2088.0,9.0,880.0,24.0,941.0,13.0,2439.0,87.0,2612.0,58.0,10288.0,509.0,10932.0,30.0,5203.0,244.0,5586.0,57.0,3371.0,142.0,3723.0,135.0,2586.0,117.0,2958.0,247.0,1849.0,93.0,2186.0,345.0,677.0,40.0,1176.0,333.0,79.0,5.0,464.0,1568.0,30740.0,1852.0,34159.0,0.0,2561.0,116.0,2748.0,70.0,3729.0,244.0,4144.0,17.0,1618.0,87.0,1789.0,19.0,4430.0,283.0,4776.0,127.0,20102.0,1131.0,21388.0,127.0,11049.0,646.0,11848.0,134.0,6960.0,403.0,7590.0,298.0,5434.0,402.0,6109.0,419.0,3613.0,217.0,4252.0,560.0,1337.0,109.0,2071.0,481.0,194.0,29.0,779.0,2669.0,60970.0,3920.0,67515.0,67515.0
Ringwood,0.0,2334.0,43.0,2468.0,220.0,4465.0,102.0,4880.0,54.0,2148.0,18.0,2345.0,11.0,2212.0,36.0,2331.0,30.0,5161.0,141.0,5441.0,70.0,5750.0,165.0,6088.0,93.0,4957.0,114.0,5320.0,184.0,3728.0,72.0,4062.0,224.0,2700.0,60.0,3155.0,272.0,1580.0,59.0,1958.0,259.0,418.0,80.0,836.0,1953.0,35581.0,1451.0,38985.0,0.0,2260.0,30.0,2320.0,95.0,4522.0,92.0,4768.0,16.0,1921.0,17.0,1997.0,12.0,2020.0,43.0,2170.0,52.0,5284.0,151.0,5547.0,73.0,6106.0,170.0,6437.0,142.0,5193.0,117.0,5562.0,223.0,4095.0,58.0,4462.0,280.0,3289.0,90.0,3710.0,555.0,1920.0,81.0,2647.0,609.0,544.0,156.0,1319.0,2421.0,37192.0,1522.0,41221.0,3.0,4595.0,98.0,4726.0,373.0,9059.0,247.0,9696.0,98.0,4075.0,85.0,4324.0,41.0,4292.0,96.0,4510.0,111.0,10536.0,359.0,11079.0,162.0,11894.0,386.0,12649.0,312.0,10134.0,300.0,10832.0,418.0,7883.0,188.0,8612.0,566.0,6023.0,222.0,6924.0,903.0,3482.0,243.0,4664.0,939.0,984.0,229.0,2253.0,4405.0,72786.0,3000.0,80223.0,80223.0
Ripon,4.0,1614.0,66.0,1769.0,263.0,3722.0,239.0,4313.0,64.0,1637.0,72.0,1904.0,36.0,1422.0,103.0,1607.0,71.0,2939.0,367.0,3542.0,96.0,3158.0,420.0,3756.0,153.0,3893.0,504.0,4636.0,328.0,4298.0,464.0,5159.0,476.0,4060.0,394.0,5040.0,407.0,1891.0,175.0,2569.0,220.0,328.0,53.0,676.0,2577.0,29138.0,3372.0,35048.0,6.0,1628.0,33.0,1728.0,109.0,3612.0,216.0,4064.0,47.0,1620.0,62.0,1827.0,11.0,1317.0,32.0,1446.0,24.0,3204.0,86.0,3488.0,73.0,3266.0,203.0,3677.0,192.0,3981.0,252.0,4564.0,364.0,4378.0,258.0,5064.0,399.0,3954.0,214.0,4658.0,409.0,1811.0,112.0,2436.0,451.0,360.0,96.0,998.0,2572.0,29209.0,2166.0,34048.0,16.0,3231.0,148.0,3500.0,425.0,7303.0,542.0,8347.0,140.0,3318.0,178.0,3821.0,85.0,2777.0,166.0,3096.0,168.0,6155.0,558.0,7013.0,203.0,6502.0,655.0,7480.0,417.0,7855.0,801.0,9210.0,761.0,8698.0,766.0,10267.0,962.0,7986.0,714.0,9694.0,872.0,3759.0,378.0,5013.0,686.0,762.0,189.0,1712.0,5165.0,58332.0,5521.0,69056.0,69056.0
Rowville,3.0,1645.0,12.0,1678.0,154.0,4126.0,70.0,4400.0,30.0,2266.0,23.0,2387.0,30.0,2438.0,16.0,2594.0,26.0,3799.0,95.0,3985.0,33.0,4258.0,65.0,4416.0,27.0,4563.0,61.0,4766.0,115.0,4690.0,50.0,4933.0,233.0,2998.0,42.0,3436.0,250.0,1327.0,35.0,1670.0,209.0,203.0,35.0,502.0,1600.0,32342.0,998.0,34938.0,5.0,1560.0,16.0,1589.0,54.0,3830.0,75.0,4023.0,27.0,2195.0,17.0,2277.0,3.0,2116.0,33.0,2190.0,28.0,3750.0,54.0,3973.0,32.0,4571.0,70.0,4789.0,55.0,5203.0,53.0,5398.0,145.0,5006.0,41.0,5309.0,260.0,3244.0,48.0,3584.0,503.0,1445.0,68.0,2096.0,498.0,269.0,27.0,894.0,2057.0,33312.0,936.0,36291.0,13.0,3192.0,44.0,3342.0,255.0,7991.0,191.0,8458.0,95.0,4435.0,85.0,4714.0,67.0,4579.0,91.0,4871.0,97.0,7586.0,242.0,7979.0,99.0,8837.0,215.0,9166.0,149.0,9727.0,158.0,10188.0,280.0,9663.0,186.0,10292.0,526.0,6250.0,148.0,7036.0,830.0,2744.0,133.0,3774.0,772.0,546.0,61.0,1445.0,3625.0,65646.0,1911.0,71136.0,71136.0
Sandringham,3.0,1390.0,9.0,1439.0,107.0,3525.0,133.0,3810.0,20.0,1885.0,21.0,1997.0,7.0,1587.0,20.0,1650.0,17.0,2629.0,65.0,2789.0,22.0,3474.0,129.0,3682.0,19.0,4485.0,116.0,4734.0,33.0,3806.0,60.0,4042.0,112.0,2888.0,79.0,3126.0,227.0,1546.0,48.0,1900.0,222.0,371.0,15.0,714.0,1154.0,27747.0,1104.0,30018.0,5.0,1381.0,11.0,1448.0,32.0,3687.0,132.0,3912.0,11.0,1857.0,28.0,1947.0,0.0,1491.0,4.0,1531.0,8.0,3018.0,56.0,3148.0,20.0,4028.0,117.0,4241.0,57.0,4952.0,107.0,5241.0,99.0,4217.0,89.0,4441.0,200.0,3313.0,75.0,3679.0,389.0,1690.0,55.0,2240.0,654.0,464.0,52.0,1235.0,1825.0,30144.0,1154.0,33063.0,14.0,2799.0,35.0,2873.0,163.0,7265.0,270.0,7766.0,37.0,3799.0,71.0,3971.0,21.0,3075.0,31.0,3170.0,31.0,5617.0,197.0,5956.0,56.0,7410.0,310.0,7865.0,121.0,9513.0,315.0,10005.0,170.0,8026.0,220.0,8519.0,356.0,6194.0,217.0,6834.0,694.0,3311.0,145.0,4156.0,967.0,854.0,88.0,1904.0,3000.0,57876.0,2213.0,63048.0,63048.0
Shepparton,8.0,2097.0,117.0,2325.0,360.0,4279.0,460.0,5147.0,83.0,2036.0,121.0,2424.0,49.0,1841.0,108.0,2119.0,81.0,4083.0,345.0,4573.0,109.0,3760.0,328.0,4237.0,163.0,4007.0,342.0,4548.0,336.0,3810.0,297.0,4544.0,345.0,3300.0,219.0,3943.0,407.0,1663.0,123.0,2297.0,272.0,339.0,50.0,742.0,2605.0,31339.0,2967.0,36904.0,13.0,1868.0,130.0,2111.0,87.0,4210.0,391.0,4798.0,23.0,1930.0,112.0,2123.0,40.0,1819.0,91.0,2003.0,79.0,4412.0,352.0,4947.0,92.0,4011.0,335.0,4506.0,199.0,4015.0,225.0,4526.0,256.0,4154.0,263.0,4807.0,364.0,3459.0,181.0,4095.0,527.0,1769.0,118.0,2518.0,562.0,374.0,64.0,1150.0,2834.0,32017.0,2819.0,37657.0,25.0,3959.0,321.0,4425.0,500.0,8527.0,840.0,9879.0,157.0,3948.0,328.0,4512.0,120.0,3654.0,278.0,4134.0,175.0,8527.0,750.0,9514.0,247.0,7697.0,694.0,8782.0,463.0,8040.0,603.0,9186.0,691.0,7982.0,639.0,9390.0,777.0,6717.0,495.0,8047.0,989.0,3401.0,329.0,4818.0,886.0,759.0,151.0,1907.0,5471.0,63362.0,5759.0,74490.0,74490.0
South Barwon,19.0,2373.0,36.0,2488.0,307.0,4252.0,131.0,4727.0,57.0,1951.0,32.0,2222.0,22.0,2662.0,143.0,2913.0,62.0,5406.0,233.0,5796.0,35.0,4610.0,84.0,4776.0,50.0,3695.0,61.0,3887.0,84.0,3035.0,66.0,3303.0,158.0,2480.0,84.0,2782.0,235.0,1341.0,42.0,1761.0,238.0,322.0,18.0,662.0,1894.0,32149.0,1363.0,35334.0,8.0,2244.0,50.0,2327.0,163.0,4155.0,131.0,4482.0,33.0,2005.0,51.0,2152.0,21.0,2638.0,97.0,2839.0,45.0,5554.0,161.0,5831.0,78.0,4965.0,112.0,5168.0,113.0,4029.0,72.0,4276.0,150.0,3445.0,73.0,3809.0,254.0,2930.0,101.0,3324.0,394.0,1566.0,60.0,2060.0,613.0,398.0,24.0,1108.0,2237.0,33878.0,1285.0,37362.0,38.0,4648.0,94.0,4899.0,502.0,8372.0,275.0,9270.0,136.0,3937.0,118.0,4394.0,106.0,5324.0,265.0,5753.0,171.0,10966.0,392.0,11560.0,138.0,9510.0,270.0,10034.0,199.0,7634.0,210.0,8140.0,305.0,6461.0,184.0,7039.0,444.0,5360.0,194.0,6139.0,702.0,2881.0,134.0,3807.0,883.0,727.0,48.0,1785.0,4094.0,65975.0,2673.0,72790.0,72790.0
South-West Coast,4.0,1671.0,81.0,1830.0,209.0,3897.0,240.0,4465.0,44.0,1858.0,85.0,2082.0,42.0,1485.0,67.0,1710.0,40.0,3491.0,200.0,3892.0,68.0,3423.0,224.0,3831.0,101.0,3854.0,225.0,4308.0,133.0,4265.0,178.0,4781.0,249.0,3778.0,185.0,4452.0,267.0,1690.0,59.0,2132.0,219.0,331.0,26.0,670.0,2113.0,29879.0,2244.0,34133.0,0.0,1547.0,59.0,1679.0,116.0,3747.0,196.0,4153.0,33.0,1798.0,62.0,1991.0,23.0,1450.0,46.0,1615.0,31.0,3674.0,150.0,3993.0,52.0,3722.0,184.0,4110.0,118.0,4345.0,198.0,4686.0,223.0,4682.0,166.0,5164.0,304.0,3871.0,162.0,4518.0,441.0,1799.0,103.0,2470.0,579.0,422.0,101.0,1226.0,2393.0,31219.0,2064.0,35726.0,18.0,3256.0,168.0,3541.0,376.0,7597.0,511.0,8650.0,140.0,3673.0,215.0,4124.0,80.0,2986.0,144.0,3333.0,152.0,7196.0,412.0,7850.0,188.0,7170.0,514.0,7887.0,300.0,8168.0,540.0,9020.0,487.0,8914.0,498.0,9897.0,673.0,7739.0,463.0,8871.0,746.0,3533.0,267.0,4608.0,833.0,862.0,173.0,1978.0,4563.0,61005.0,4264.0,69928.0,69928.0
